Accessions,10C,18C,18T,19T,3T,4T,5C,8C
A0A0A0MR02,NA,NA,NA,0.000276134,NA,NA,NA,NA
A0A0A0MR50,NA,NA,NA,7.53E-06,NA,NA,NA,NA
A0A0A0MRQ5,NA,NA,NA,NA,NA,NA,NA,0.005479402
A0A0A0MRX1,NA,NA,NA,5.17E-05,NA,NA,NA,NA
A0A0A0MS51,NA,0.000332667,NA,0.000152238,NA,NA,NA,NA
A0A0A0MSI0,NA,NA,NA,NA,NA,NA,NA,0.003108199
A0A0A0MSQ0,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MSV6,NA,NA,NA,NA,NA,NA,0.000458729,NA
A0A0A0MSV7,NA,9.56E-05,NA,NA,NA,NA,NA,NA
A0A0A0MT01,NA,0.000324426,NA,0.000148467,NA,NA,NA,NA
A0A0A0MT26,NA,NA,NA,0.000346944,NA,NA,NA,NA
A0A0A0MTB9,NA,0.000372434,NA,NA,NA,NA,NA,NA
A0A0A0MTI5,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MTN3,NA,NA,NA,NA,NA,NA,NA,NA
A0A0A0MTS7,NA,4.46E-07,NA,NA,NA,2.04E-06,NA,NA
A0A0A0N0L3,NA,2.16E-05,NA,4.05E-05,NA,NA,NA,NA
A0A0A0N0M3,NA,2.98E-05,NA,5.60E-05,NA,NA,NA,NA
A0A0A0N0N3,NA,3.30E-05,NA,NA,NA,NA,NA,NA
A0A0A1HAW1,NA,2.94E-05,NA,0.00036336,NA,NA,NA,NA
A0A0A1TSG4,NA,NA,NA,1.71E-05,NA,NA,NA,NA
A0A0A6YYF2,NA,6.21E-06,NA,NA,NA,NA,NA,NA
A0A0A6YYG9,NA,NA,NA,1.47E-05,NA,NA,NA,NA
A0A0A6YYL6,NA,9.78E-05,NA,7.34E-05,NA,NA,NA,NA
A0A0A7C428,NA,NA,NA,NA,NA,NA,6.60E-05,NA
A0A0A7C463,NA,NA,NA,NA,NA,NA,6.60E-05,NA
A0A0A7C470,NA,NA,NA,NA,NA,NA,6.60E-05,NA
A0A0B4J1R6,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J1X5,NA,NA,NA,NA,NA,NA,0.00080454,NA
A0A0B4J1Z1,NA,0.000104161,NA,NA,NA,NA,NA,NA
A0A0B4J213,NA,NA,NA,0.000410445,NA,NA,NA,NA
A0A0B4J231,NA,NA,NA,0.000198617,NA,NA,NA,NA
A0A0B4J2A4,NA,2.49E-05,NA,NA,NA,NA,NA,NA
A0A0B4J2B4,NA,4.53E-05,NA,NA,NA,NA,NA,NA
A0A0B4J2C3,NA,7.24E-05,NA,8.08E-05,NA,NA,NA,NA
A0A0B4J2D5,NA,NA,NA,5.94E-05,NA,NA,NA,NA
A0A0B4J2D5-2,NA,NA,NA,5.94E-05,NA,NA,NA,NA
A0A0B5E697,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A0B6XK12,NA,NA,NA,NA,NA,0.001187971,NA,NA
A0A0C4DFN3,NA,1.99E-05,NA,NA,NA,NA,NA,NA
A0A0C4DFV9,NA,0.000120525,NA,0.000169725,NA,NA,NA,NA
A0A0C4DG17,NA,0.000133782,NA,0.000240028,NA,NA,NA,NA
A0A0C4DGB6,0.002752313,NA,0.005263333,NA,0.013601093,NA,NA,NA
A0A0C4DGH5,NA,1.39E-05,NA,NA,NA,NA,NA,NA
